,Time,Event,Actual,Forecast,Previous,Unnamed: 5
0,17/09/2024,"Tuesday, September 17, 2024","Tuesday, September 17, 2024","Tuesday, September 17, 2024","Tuesday, September 17, 2024","Tuesday, September 17, 2024"
1,17/09/2024,Core Retail Sales (MoM) (Aug),0.1%,0.2%,0.4%,
3,17/09/2024,Retail Sales (MoM) (Aug),0.1%,-0.2%,1.1%,
5,18/09/2024,"Wednesday, September 18, 2024","Wednesday, September 18, 2024","Wednesday, September 18, 2024","Wednesday, September 18, 2024","Wednesday, September 18, 2024"
6,18/09/2024,Crude Oil Inventories,,-0.100M,0.833M,
8,18/09/2024,FOMC Economic Projections,,,,
10,18/09/2024,FOMC Statement,,,,
12,18/09/2024,Fed Interest Rate Decision,,5.25%,5.50%,
14,18/09/2024,FOMC Press Conference,,,,
16,19/09/2024,"Thursday, September 19, 2024","Thursday, September 19, 2024","Thursday, September 19, 2024","Thursday, September 19, 2024","Thursday, September 19, 2024"
17,19/09/2024,Initial Jobless Claims,,232K,230K,
19,19/09/2024,Philadelphia Fed Manufacturing Index (Sep),,-0.6,-7.0,
21,19/09/2024,Existing Home Sales (Aug),,3.89M,3.95M,
